who,voting-status,party,sir-state,shared?,content-bias,xcor,ycor
171,will-vote,A,infected,false,partyA,12.93046292953672,-1.629307772190014
422,will-vote,A,infected,false,partyB,-6.977036496400116,-15.825349615749396
41,will-vote,A,infected,true,partyA,-4.863173254974685,-0.8748813766027101
120,will-vote,A,susceptible,false,partyA,-9.912954012427633,3.474002959737632
70,will-vote,A,infected,true,partyB,4.412658948415331,3.227067309274574
102,will-vote,A,infected,true,partyB,-13.268516032590501,-11.950350741614312
258,will-vote,B,infected,false,partyA,13.635362314143347,-4.150956860089856
209,will-vote,A,infected,false,partyB,-3.214817351133357,-14.261368824064728
426,will-vote,A,infected,true,partyB,10.069679868073901,-16.4286851157757
7,will-vote,B,infected,false,partyA,3.8124352231480003,-15.436313770125185
10,will-vote,B,infected,true,partyB,-5.408965300688541,-5.546828594048694
394,will-vote,A,infected,false,partyB,3.0134973371345346,11.409693919441011
241,will-vote,A,infected,false,partyB,4.634432555026034,12.061324639162574
169,will-vote,A,infected,false,partyA,-4.428062268142137,-10.042874209142768
72,will-vote,A,infected,true,partyA,12.425087512794232,15.141468862808921
149,will-vote,A,infected,false,partyA,-3.1810541192231234,-9.017066200192374
304,will-vote,A,infected,true,partyA,-10.271892922480376,-2.1707891024864026
347,will-vote,B,infected,false,partyB,14.674273211597626,10.50342193290378
24,will-vote,B,infected,true,partyB,-5.239176972089076,15.7217649702866
202,will-vote,A,infected,false,partyA,-7.93127590078333,5.202585963730172
436,will-vote,A,infected,true,partyB,7.35143553000972,9.929401030425357
103,will-vote,B,infected,true,partyB,-8.205444335202456,16.231214262504324
191,will-vote,A,infected,true,partyA,16.100433107932872,10.491772630077016
348,will-vote,B,infected,false,partyA,-6.856607519060205,-7.48941032446594
62,will-vote,A,infected,false,partyB,2.8061797288682264,-5.9003609572234605
210,will-vote,B,infected,false,neutral,-6.106907658034695,15.90639501970805
180,will-vote,B,infected,true,partyB,-8.327503256847566,-6.156364571989885
232,will-vote,A,infected,false,partyA,-10.99088787408833,-10.130431192091882
158,will-vote,A,infected,false,partyA,9.925418263236736,-16.097439789851542
199,will-vote,A,infected,false,partyA,-7.337570917367419,1.1948698901194277
379,will-vote,A,infected,false,partyA,3.0012497793314985,-14.78539034301004
265,will-vote,B,infected,false,partyA,-14.456525324949464,12.374626115964485
234,will-vote,A,infected,true,partyA,11.717712715892166,-2.9275261822043763
54,will-vote,B,infected,false,neutral,3.1264054576033082,11.253494458582495
295,will-vote,B,infected,true,partyB,6.027732294297433,14.388724851573748
447,will-vote,A,infected,false,partyB,-5.538159889382445,11.4871065519797
340,will-vote,A,susceptible,false,partyA,-3.399865890161877,3.93993609996269
288,will-vote,A,susceptible,false,partyA,-0.5981792376746924,-9.916532031082333
314,will-vote,A,infected,false,partyA,5.294660051128115,-13.298659154770053
270,will-vote,A,infected,true,partyA,-8.615613713612019,-1.3274897354597357
126,will-vote,A,infected,true,partyB,3.7885707356147087,-0.45919750877431653
230,will-vote,B,infected,true,partyB,-10.049131811217812,-12.186161881847514
455,will-vote,A,infected,true,partyB,-12.635485704826754,10.234137408631465
112,will-vote,A,infected,false,partyA,11.132533075076658,-1.1069144258763632
19,will-vote,B,infected,false,partyA,-15.153066122735533,11.552433849544183
225,will-vote,A,susceptible,false,partyB,-12.250090732389783,-10.825855282760816
338,will-vote,A,infected,false,partyA,-8.930280869185962,12.622969714938758
428,will-vote,A,infected,false,partyA,-4.709784624991439,-11.193875841503324
316,will-vote,B,infected,true,partyB,6.544946441028333,0.4743589681943803
