who,voting-status,party,sir-state,shared?,content-bias,xcor,ycor
333,will-not-vote,B,susceptible,FALSE,neutral,9.479838918,0.195005822
476,will-vote,B,susceptible,FALSE,neutral,-7.576189481,-5.537300876
332,will-vote,A,susceptible,FALSE,neutral,-13.90006094,-15.6931526
367,will-vote,A,susceptible,FALSE,neutral,13.26389295,11.85907472
345,will-vote,B,susceptible,FALSE,neutral,4.504551715,2.782481298
338,will-vote,B,susceptible,FALSE,neutral,-8.930280869,12.62296971
329,will-not-vote,None,susceptible,FALSE,neutral,-10.74552573,7.387174962
143,will-not-vote,B,susceptible,FALSE,neutral,7.700018584,-0.245837477
71,will-not-vote,None,susceptible,FALSE,neutral,0.668456866,-1.158373931
76,will-vote,B,infected,TRUE,partyB,-2.520532141,14.14003616
100,will-not-vote,None,susceptible,FALSE,neutral,-8.623681659,14.03460066
99,will-vote,B,susceptible,FALSE,neutral,15.68687054,-16.36367159
377,will-vote,B,susceptible,FALSE,neutral,-6.224419876,10.45561825
121,will-not-vote,None,susceptible,FALSE,neutral,-1.435326498,11.92536119
303,will-vote,A,susceptible,FALSE,neutral,7.095817979,3.069084932
257,will-not-vote,A,susceptible,FALSE,neutral,-3.973900786,7.75452854
356,will-not-vote,A,susceptible,FALSE,neutral,-4.108041884,-13.18234701
282,will-vote,A,infected,TRUE,partyA,7.006027836,4.612344922
20,will-vote,B,susceptible,FALSE,neutral,-11.68267447,16.29638197
430,will-vote,B,infected,TRUE,partyB,2.585651896,-6.661142559
280,will-vote,B,susceptible,FALSE,neutral,-3.927055236,7.387690654
160,will-vote,A,susceptible,FALSE,neutral,6.000795171,-16.46850487
316,will-vote,B,susceptible,FALSE,neutral,6.544946441,0.474358968
86,will-vote,B,susceptible,FALSE,neutral,-8.809705124,-9.487981016
56,will-not-vote,A,susceptible,FALSE,neutral,2.825593675,3.204412132
268,will-vote,B,susceptible,FALSE,neutral,-10.59644499,-6.954649722
262,will-vote,A,susceptible,FALSE,neutral,-3.021141591,-14.23112894
110,will-not-vote,A,susceptible,FALSE,neutral,0.714289848,-7.417639207
492,will-vote,B,susceptible,FALSE,neutral,15.75389598,0.252781909
72,will-not-vote,A,susceptible,FALSE,neutral,12.42508751,15.14146886
61,will-vote,A,susceptible,FALSE,neutral,1.479574684,15.96019495
119,will-not-vote,None,susceptible,FALSE,neutral,-4.100258022,8.716927418
466,will-vote,A,susceptible,FALSE,neutral,12.96521053,-4.059204058
184,will-not-vote,B,susceptible,FALSE,neutral,-15.09906466,13.92311535
369,will-not-vote,B,susceptible,FALSE,neutral,-0.025703137,10.31728652
195,will-vote,A,susceptible,FALSE,neutral,-9.882766041,7.124140229
6,will-vote,A,susceptible,FALSE,neutral,7.924054255,13.55600882
270,will-vote,A,susceptible,FALSE,neutral,-8.615613714,-1.327489735
167,will-vote,B,susceptible,FALSE,neutral,-9.246154284,-13.35225344
363,will-vote,A,susceptible,FALSE,neutral,2.645251178,-4.375315573
171,will-vote,B,susceptible,FALSE,neutral,12.93046293,-1.629307772
207,will-not-vote,None,susceptible,FALSE,neutral,-10.54332721,-6.693755882
296,will-vote,B,susceptible,FALSE,neutral,-3.499185293,10.99356282
130,will-vote,B,infected,TRUE,partyB,-2.538505946,12.17793784
77,will-not-vote,A,susceptible,FALSE,neutral,15.96107945,-3.916032777
57,will-vote,B,susceptible,FALSE,neutral,-10.55417882,-0.104567584
1,will-vote,B,infected,TRUE,partyB,14.58135854,3.716204129
192,will-vote,B,infected,TRUE,partyB,-2.002563609,-6.624309895
120,will-vote,B,infected,TRUE,partyB,-9.912954012,3.47400296
364,will-vote,A,susceptible,FALSE,neutral,-5.805386117,6.634551752
113,will-vote,B,susceptible,FALSE,neutral,-16.46483645,-6.444244972
483,will-not-vote,B,susceptible,FALSE,neutral,-13.23225907,10.83639506
317,will-not-vote,A,susceptible,FALSE,neutral,7.075541581,-9.040379647
74,will-vote,B,susceptible,FALSE,neutral,-9.051453664,16.125167
129,will-not-vote,A,susceptible,FALSE,neutral,-7.73536503,11.40840577
105,will-vote,A,susceptible,FALSE,neutral,5.985958826,16.0597625
421,will-not-vote,B,susceptible,FALSE,neutral,-3.53553885,11.86519041
87,will-vote,A,susceptible,FALSE,neutral,-9.464968991,-0.707031153
198,will-vote,A,susceptible,FALSE,neutral,4.520964264,-14.93538866
212,will-vote,A,susceptible,FALSE,neutral,4.492751708,5.177039727
84,will-vote,B,susceptible,FALSE,neutral,-13.96093464,0.437908517
323,will-not-vote,B,susceptible,FALSE,neutral,-4.88204234,-10.81546011
279,will-vote,B,susceptible,FALSE,neutral,11.14007729,6.366042289
199,will-vote,A,susceptible,FALSE,neutral,-7.337570917,1.19486989
408,will-vote,A,susceptible,FALSE,neutral,-13.76939024,-3.384881761
458,will-vote,B,susceptible,FALSE,neutral,9.585060407,10.29794397
242,will-not-vote,B,susceptible,FALSE,neutral,7.432091463,-4.417389143
359,will-vote,B,susceptible,FALSE,neutral,9.16997549,-13.19743531
390,will-vote,A,susceptible,FALSE,neutral,-10.71868437,2.970842432
300,will-not-vote,B,susceptible,FALSE,neutral,-9.082359125,-8.342414752
477,will-vote,B,susceptible,FALSE,neutral,6.229230999,10.3621188
220,will-not-vote,A,susceptible,FALSE,neutral,-7.766397721,9.980405507
295,will-vote,B,infected,TRUE,partyB,6.027732294,14.38872485
415,will-vote,A,susceptible,FALSE,neutral,-10.8615233,-7.889398678
172,will-not-vote,B,susceptible,FALSE,neutral,10.9219166,-2.335339388
443,will-not-vote,None,susceptible,FALSE,neutral,8.866533,-6.13261997
163,will-vote,A,susceptible,FALSE,neutral,-16.253675,3.083419771
442,will-vote,A,susceptible,FALSE,neutral,-5.799319316,-16.20547314
402,will-vote,A,infected,TRUE,partyA,-2.555155282,7.130736152
124,will-vote,A,susceptible,FALSE,neutral,14.42332478,-14.45909481
396,will-vote,A,susceptible,FALSE,neutral,-12.11240805,0.049733786
44,will-not-vote,A,susceptible,FALSE,neutral,8.84711308,-10.13561564
497,will-vote,A,susceptible,FALSE,neutral,-15.14169678,13.01146637
162,will-not-vote,A,susceptible,FALSE,neutral,-0.001270192,6.844804823
485,will-vote,B,susceptible,FALSE,neutral,11.61478515,4.908230513
380,will-vote,B,susceptible,FALSE,neutral,-3.38153851,-5.804677357
104,will-vote,A,susceptible,FALSE,neutral,0.970729402,4.175910551
176,will-not-vote,None,susceptible,FALSE,neutral,-8.706679981,10.48359911
405,will-vote,A,susceptible,FALSE,neutral,4.564317217,-12.64669756
150,will-vote,A,susceptible,FALSE,neutral,2.260317112,0.907099492
78,will-vote,A,susceptible,FALSE,neutral,-12.41147366,4.895345084
337,will-vote,B,susceptible,FALSE,neutral,-12.06294478,2.656140842
209,will-not-vote,A,susceptible,FALSE,neutral,-3.214817351,-14.26136882
358,will-not-vote,A,infected,TRUE,partyA,6.058300896,-10.4685029
211,will-not-vote,A,susceptible,FALSE,neutral,8.996239639,14.36309041
89,will-vote,B,susceptible,FALSE,neutral,2.768310257,-0.086331856
252,will-vote,B,infected,TRUE,partyB,-5.831079842,4.621206792
238,will-vote,B,susceptible,FALSE,neutral,-3.902930191,8.365734627
387,will-vote,A,susceptible,FALSE,neutral,-15.15348455,3.005164757
128,will-vote,A,susceptible,FALSE,neutral,10.33805848,4.88160882
328,will-vote,A,susceptible,FALSE,neutral,-5.107762173,4.833785042
133,will-not-vote,None,susceptible,FALSE,neutral,14.00940551,-12.37219754
